,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,full_text,full_text_cleaned,scores_sum,sentences,scores
0,0,1.0,0.2304,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['fsd', 'packag', 'sell', 'defin', 'featur', 'includ', 'robotaxi', 'level', '5', 'vehicl', 'drive', 'complet', 'hw3', 'fsd', 'cannot', 'pickup', 'kid', 'school', 'yet', 'least', 'mayb', 'ever']","@Kirk_Tesla @PinballReed @TeslaLisa @terjeholden @TeslaTruckClub @Tesla - FSD is an Autopilot package Tesla sells with defined features included 
- Robotaxi is a level 5 autonomous vehicle that can drive completely on its own
- No, your HW3 Tesla with FSD cannot pickup your kids from school… not yet at least, maybe not ever…",fsd packag sell defin featur includ robotaxi level 5 vehicl drive complet hw3 fsd cannot pickup kid school yet least mayb ever,0.997,"['- FSD is an Autopilot package Tesla sells with defined features included - Robotaxi is a level 5 autonomous vehicle that can drive completely on its own - No, your HW3 Tesla with FSD cannot pickup your kids from school… not yet at least, maybe not ever…']",[0.997]
1,1,3.0,0.2222,"drive, full, level, 2, musk, elon, year, call, 5, claim","['never', 'said', 'car', 'case', 'end', 'favor']","@ptuncch @business Tesla never said their cars are Autonomous... 
All the cases against tesla about their autopilot ended up favor for tesla.",never said car case end favor,0.934,"['Tesla never said their cars are Autonomous...', 'All the cases against tesla about their autopilot ended up favor for tesla.']","[0.874, 0.994]"
2,2,0.0,0.2,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel",[],https://t.co/ZrlawQpiyP,,0.0,[''],[0]
3,3,0.0,0.2513,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['competitor', 'close', 'tmc', 'member', 'compar', 'driver', 'assist', 'system', 'talk', 'advanc', 'system', 'blue', 'cruis', 'supercruis', 'thought']","Any Competitors Close to Tesla's Autopilot?

TMC members compare driver-assist systems to @Tesla's Autopilot:

""If you’re talking about more advanced autonomous systems then @Ford Blue Cruise and @GM SuperCruise are up there.""

Thoughts?

https://t.co/K1RStrtUBk",competitor close tmc member compar driver assist system talk advanc system blue cruis supercruis thought,-0.285,"[""Any Competitors Close to Tesla's Autopilot?"", 'TMC members compare driver-assist systems to Autopilot: ""If you’re talking about more advanced autonomous systems then Blue Cruise and SuperCruise are up there.""', 'Thoughts?']","[-0.621, -0.83, 0.596]"
4,4,0.0,0.2239,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['lot', 'cult', 'member', 'make', 'way', 'giga', 'austin', 'pilgrimag', 'need', 'take', 'nap', 'rememb', 'put', 'camp', 'mode', 'first', 'allow', 'fsd', 'enter', 'true', 'mode', 'sleep']","A lot of Tesla cult members making their way to giga Austin for their pilgrimage. If you need to take a nap on Autopilot, remember to put your Tesla in Camp Mode first. This will allow FSD to enter true autonomous mode while you sleep.",lot cult member make way giga austin pilgrimag need take nap rememb put camp mode first allow fsd enter true mode sleep,0.471,"['A lot of Tesla cult members making their way to giga Austin for their pilgrimage.', 'If you need to take a nap on Autopilot, remember to put your Tesla in Camp Mode first.', 'This will allow FSD to enter true autonomous mode while you sleep.']","[0.995, -0.558, 0.977]"
5,5,4.0,0.2878,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['autonomi', 'greatest', 'boon', 'safeti', 'vehicl', 'follow', 'road', 'rule', 'keep', 'safe', 'distanc', 'cyclist']","@msdwrites Autonomy the greatest boon to safety
Autonomous vehicles will follow the road rules - 
Tesla #Autopilot keeps a safe distance from cyclist
https://t.co/sLuW7ScyGE",autonomi greatest boon safeti vehicl follow road rule keep safe distanc cyclist,0.999,['Autonomy the greatest boon to safety Autonomous vehicles will follow the road rules - Tesla Autopilot keeps a safe distance from cyclist'],[0.999]
6,6,4.0,0.2356,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['polic', 'set', 'probe', 'singaporean', 'coupl', 'drive', 'mode', 'along', 'plus', 'highway', 'bukit', 'aman', 'traffic', 'dep', 'director', 'bakri', 'zainal', 'abidin', 'said', 'use', 'self', 'drive', 'mode', 'offenc', 'rule', '17', 'road', 'traffic', 'rule', '1959']","JUST IN

Police are set to probe a Singaporean couple for driving their Tesla in 'AutoPilot' mode along the PLUS Highway.

Bukit Aman traffic dep. director Bakri Zainal Abidin said the use of 'self-driving mode' is an offence under Rule 17 of the Road Traffic Rules 1959.",polic set probe singaporean coupl drive mode along plus highway bukit aman traffic dep director bakri zainal abidin said use self drive mode offenc rule 17 road traffic rule 1959,-0.824,"[""JUST IN Police are set to probe a Singaporean couple for driving their Tesla in 'AutoPilot' mode along the PLUS Highway."", 'Bukit Aman traffic dep.', ""director Bakri Zainal Abidin said the use of 'self-driving mode' is an offence under Rule 17 of the Road Traffic Rules 1959.""]","[-0.584, -0.889, -0.999]"
7,7,0.0,0.2973,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['full', 'self', 'drive', 'beta', 'two', 'differ', 'thing', 'advanc', 'advanc', 'driver', 'assist', 'system', 'ada', 'full', 'self', 'drive', 'beta', 'go', 'fulli', 'system', 'driver', 'fsd', 'requir', 'pay', 'attent']","@RDLSARAH @ShaneAr27120079 @alandail @RealDanODowd @elonmusk @Tesla Autopilot and Full Self driving Beta are two very different things. Autopilot is an advanced advanced driver assistance system (ADAS) where as Full self driving beta is going to be a fully autonomous system. The driver when on Autopilot or FSD, is required to pay attention.",full self drive beta two differ thing advanc advanc driver assist system ada full self drive beta go fulli system driver fsd requir pay attent,0.104,"['Autopilot and Full Self driving Beta are two very different things.', 'Autopilot is an advanced advanced driver assistance system (ADAS) where as Full self driving beta is going to be a fully autonomous system.', 'The driver when on Autopilot or FSD, is required to pay attention.']","[-0.994, 0.725, 0.581]"
8,8,1.0,0.2557,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['mark', 'calendar', 'april', '7', '10', '15', '12', '00', 'room', 'cm1', 'director', 'ai', 'lead', 'comput', 'vision', 'team', 'guest', 'lectur', 'deep', 'learn', 'vehicl', 'class', 'registr']","🗓️Mark your calendar! April 7 – 10:15 › 12:00 | Room: CM1

@karpathy, director of AI at @Tesla, where he leads the computer vision team of Tesla Autopilot will be a guest lecture in the ""Deep Learning for Autonomous Vehicle"" class.

👉Registration https://t.co/zAjToaoeT7 https://t.co/QtGh2kUYRx",mark calendar april 7 10 15 12 00 room cm1 director ai lead comput vision team guest lectur deep learn vehicl class registr,0.873,"['🗓️Mark your calendar!', 'April 7 – 10:15 › 12:00 | Room: CM1 director of AI at where he leads the computer vision team of Tesla Autopilot will be a guest lecture in the ""Deep Learning for Autonomous Vehicle"" class.', '👉Registration']","[0.989, 0.962, 0.668]"
9,9,0.0,0.2626,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['show', 'auto', 'pilot', 'commerci', 'mi', 'sure', 'countri', 'total', 'accur', 'guy', 'take', 'wheel', '3', 'occas', 'commerci', 'congress', 'stop', 'car']","They showed a Tesla AUTO pilot commercial here in Mi
Not sure what country it was in the autopilot wasn't totally accurate so the guy had to take the wheel on 3 occasions.. the commercial was for Congress to STOP Tesla from having autonomous cars",show auto pilot commerci mi sure countri total accur guy take wheel 3 occas commerci congress stop car,-0.996,"[""They showed a Tesla AUTO pilot commercial here in Mi Not sure what country it was in the autopilot wasn't totally accurate so the guy had to take the wheel on 3 occasions.."", 'the commercial was for Congress to STOP Tesla from having autonomous cars']","[-1.0, -0.992]"
